FP mushroom time
	PrePost+	LCMFreq	PrePost	H-Mine	FPGrowth	Eclat	Apriori	Relim
0,5	56,0	88,2	42,2	79,8	46,6	127,4	17,8	236,8
0,45	42,2	129,6	41,0	78,6	40,8	219,6	17,6	1003,4
0,4	43,0	185,8	41,8	103,0	42,6	354,0	17,4	3273,6
0,35000000000000003	43,6	373,6	43,4	153,0	45,2	704,8	17,8	10512,8
0,30000000000000004	47,2	649,0	47,0	257,2	50,4	1487,0	17,2	16321,8
0,25000000000000006	55,0	1194,2	57,2	423,4	58,6	2906,8	16,8	63315,0
0,2000000000000001	166,0	5536,2	163,8	2509,0	185,8	26845,4	18,0	306277,0
0,15000000000000008	272,8	9520,8	273,0	4070,6	309,4	45728,6	17,6	604507,4
0,10000000000000006	1718,8	35327,6	1682,8	15673,4	1867,4	247307,8	17,6	1451211,0
