;CloSpan;CMClaSP;BIDE;ClaSP
0.2;1433;1382;865;1636
0.17500000000000002;1211;1356;834;1688
0.15000000000000002;1488;1391;1076;2015
0.12500000000000003;1986;1528;1312;2677
0.10000000000000003;2561;1763;1690;3368
0.07500000000000004;3757;2271;2522;4576
0.05000000000000004;6763;3361;4492;7707
0.025000000000000036;19359;7461;12647;18235
