;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.01;159.84365844726562;273.19432830810547;140.63141632080078;192.8581085205078;494.64229583740234;436.7997131347656;499.1551818847656;219.6110610961914
0.009000000000000001;1067.0;212.867919921875;100.93299102783203;159.14434814453125;503.2491989135742;447.7504196166992;498.4656524658203;210.97301483154297
0.008;101.32919311523438;233.28668212890625;121.71484375;180.17139434814453;501.29308319091797;463.30223083496094;505.3961868286133;244.16529083251953
0.007;122.71304321289062;233.13238525390625;121.7673568725586;223.2015151977539;501.57190704345703;463.09104919433594;505.18175506591797;266.24442291259766
0.006;122.72087097167969;254.25396728515625;121.78153228759766;244.80841827392578;500.84031677246094;483.9839553833008;504.4540023803711;308.1863098144531
0.005;122.64061737060547;274.67652893066406;121.77374267578125;266.52931213378906;500.6128692626953;483.0142364501953;503.9823455810547;350.47206115722656
0.004;143.8961944580078;294.98397064208984;121.74887084960938;288.2144775390625;500.12955474853516;503.5093231201172;503.2594223022461;392.11402130126953
0.003;143.89847564697266;315.37389373779297;121.76356506347656;330.8296356201172;499.4018020629883;523.4777603149414;502.5350570678711;495.77083587646484
0.002;143.84085845947266;376.7649154663086;142.65579986572266;394.68898010253906;498.70958709716797;585.5493316650391;495.27767181396484;737.451286315918
0.001;184.98188018798828;559.3437423706055;163.09587860107422;539.6157150268555;496.2821502685547;708.0557250976562;495.75396728515625;1131.9823532104492
