;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.01;499.12940979003906;585.9295654296875;607.1188125610352;461.07457733154297;270.9735870361328
0.009000000000000001;509.9619140625;649.7272491455078;193.1403045654297;478.1493225097656;276.2029800415039
0.008;512.1424179077148;738.9917755126953;610.0702819824219;433.42346954345703;196.0776824951172
0.007;493.95835876464844;855.5798416137695;543.2009124755859;380.28943634033203;119.23438262939453
0.006;495.7411346435547;960.9344100952148;467.05191802978516;320.96360778808594;808.8697128295898
0.005;496.1678771972656;1058.8784103393555;531.3573455810547;388.7790756225586;77.32597351074219
0.004;505.4813919067383;1117.4455490112305;569.0781173706055;433.81839752197266;119.77873992919922
0.003;491.23057556152344;928.9287948608398;680.4669189453125;534.2987289428711;219.36125946044922
0.002;502.93199920654297;892.6978225708008;477.26827239990234;382.2586441040039;366.1285858154297
0.001;499.68773651123047;837.2457427978516;441.09749603271484;309.09085845947266;331.30298614501953
