;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.01;131;131;131;126;131
0.009000000000000001;154;154;154;149;154
0.008;178;178;178;171;178
0.007;212;212;212;205;212
0.006;254;254;254;247;254
0.005;321;321;321;312;321
0.004;413;413;413;403;413
0.003;582;582;582;570;582
0.002;951;951;951;936;951
0.001;1899;1899;1899;1866;1899
