;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.8;3021;887;2990;7304;2846
0.775;3851;2544;5144;11949;3227
0.75;3513;4547;6850;8823;3402
0.725;3614;7355;10507;9631;4710
0.7;3655;9041;11769;10850;5448
0.6749999999999999;3670;11335;16407;13407;4764
0.6499999999999999;3670;15409;20949;14609;5789
0.6249999999999999;3701;15188;21824;14717;5765
0.5999999999999999;3683;15014;24774;14657;5777
0.5749999999999998;3731;16186;24891;15816;6006
0.5499999999999998;3754;31620;47709;19363;8270
0.5249999999999998;4006;53525;60413;24433;12581
