;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.01;821;2802;821;885;797;4134;7915;975
0.009000000000000001;865;3138;837;894;804;4768;10497;1014
0.008;849;3424;854;910;808;5589;13346;1081
0.007;882;4002;873;935;817;6748;19211;1123
0.006;888;4571;894;954;828;7994;25562;1190
0.005;906;5314;907;982;833;10164;35617;1273
0.004;926;6263;928;1003;839;13268;50954;1375
0.003;963;7865;961;1036;847;18698;82613;1555
0.002;1005;11538;1010;1106;863;36675;184108;2051
0.001;1101;21524;1174;1402;984;121977;522093;2990
