;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.01;822;2967;826;890;802;4167;7917;979
0.009000000000000001;838;3335;840;898;809;4815;10502;1014
0.008;852;3687;852;915;815;5623;13330;1045
0.007;876;4317;877;939;823;6812;19215;1120
0.006;890;4906;896;964;833;8046;25543;1189
0.005;913;5728;914;988;836;10228;35618;1280
0.004;933;6789;932;1008;846;13377;50938;1382
0.003;963;8499;963;1042;853;18774;81899;1555
0.002;1011;12429;1011;1107;869;36589;181200;1968
0.001;1075;20164;1082;1229;891;104581;516583;2861
