;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.01;1265;3047;847;1043;858;4176;13635;1174
0.009000000000000001;850;3126;849;894;807;4827;20042;1126
0.008;849;3438;849;915;809;5639;13286;1056
0.007;873;4025;873;937;818;6825;19210;1119
0.006;886;4547;889;959;828;8023;25549;1189
0.005;908;5278;909;986;832;10236;35647;1273
0.004;925;6248;928;1002;841;13362;50965;1376
0.003;957;7848;961;1042;849;18855;81965;1557
0.002;1008;11562;1013;1123;874;37417;182560;1979
0.001;1071;18562;1073;1227;883;105818;516921;2934
