;CloSpan;BIDEPlus;CMClaSP;ClaSP
0.01;1260.778434753418;720.4420776367188;900.6804962158203;1260.9001693725586
0.009000000000000001;1260.778434753418;720.4420776367188;900.6804962158203;1260.900131225586
0.008;1440.8918991088867;720.4420852661133;900.5555191040039;1440.8850402832031
0.007;1801.1149826049805;900.5518951416016;960.462776184082;1621.0060729980469
0.006;2161.3498001098633;1080.6618423461914;1140.5881958007812;1981.2300720214844
0.005;2881.8013076782227;1260.7724914550781;1080.6759872436523;2521.5561141967773
0.004;4502.8007736206055;1620.9912719726562;1320.6863021850586;3422.1150970458984
0.003;8645.399848937988;2711.4175415039062;1446.1024475097656;5965.174362182617
0.002;7415.235198974609;6264.382431030273;1983.7538833618164;4317.807746887207
