;CloSpan;BIDEPlus;CMClaSP;ClaSP
0.01;1272.1806030273438;726.9619064331055;908.701545715332;1272.1847229003906
0.009000000000000001;1272.180549621582;726.9619140625;908.7014541625977;1272.1852188110352
0.008;1453.9274139404297;726.9628372192383;908.701545715332;1453.9200897216797
0.007;1817.4061584472656;908.7014465332031;908.7015762329102;1635.6597747802734
0.006;2180.8960494995117;1150.348274230957;1090.4410705566406;2059.053367614746
0.005;2907.867057800293;1272.1805572509766;1090.443992614746;2544.3681411743164
0.004;4361.798065185547;1635.6595916748047;1090.4469299316406;3453.0721435546875
0.003;8723.612213134766;2724.0035552978516;1452.8144073486328;5992.893524169922
0.002;7423.361175537109;6269.083465576172;1983.8192672729492;4317.866798400879
