sequence leviathan time
	PrefixSpan	SPADE	CMSPADE	CMSPAM	LAPIN	SPAM
0,2	166,6	252,8	408,0	272,4	714,8	292,8
0,17500000000000002	149,2	260,2	393,8	302,2	887,8	353,0
0,15000000000000002	171,0	285,4	408,0	360,6	1093,2	460,2
0,12500000000000003	201,0	332,2	431,8	449,4	1424,6	623,6
0,10000000000000005	251,6	408,2	466,6	655,2	2212,4	963,2
0,07500000000000004	349,6	563,4	550,0	1072,0	3566,0	1643,4
0,05000000000000003	626,4	922,2	782,2	2208,6	6913,4	3455,0
0,025000000000000033	1749,8	2370,0	2212,0	7752,4	20972,4	11824,6
