FP kddcup99 memory
	PrePost+	LCMFreq	PrePost	H-Mine	FPGrowth	Eclat	Apriori	Relim
0,8	5246,846586608886	4515,321044921875	5259,604118347168	5242,886672973633	5231,133728027344	1586,4336654663086	2465,894692993164	5247,960372924805
0,775	5345,313107299805	5794,576600646973	5318,674356079102	6101,096403503418	5277,265748596192	2635,9732620239256	2449,601806640625	5949,323745727539
0,75	5320,908744812012	6898,3404190063475	5319,111781311035	6710,4231582641605	5313,233685302735	3735,7818756103516	2473,6380447387696	6720,456936645508
0,725	5495,127958679199	8503,428929138183	5337,310549926758	7786,363771057129	5334,5320846557615	4991,42826385498	2467,447993469238	8998,38514251709
0,7	5426,954985046386	9032,324992370606	5496,882479858398	8665,788774108887	5301,319387817382	6025,0287414550785	2466,982942199707	8996,0324508667
0,6749999999999999	5495,5230163574215	9032,32495727539	5502,56063079834	9029,820199584961	5345,029190063477	8000,945600891113	2478,2890029907226	9032,324864196777
0,6499999999999999	5434,505419921875	9032,324742126464	5459,063006591797	9032,324742126464	5285,077445983887	9032,324742126464	2512,118196105957	9032,324836730957
0,6249999999999999	5514,70043334961	8998,101023864747	5465,007556152344	8777,381666564941	5261,331999206543	8922,201599121094	2479,9987503051757	9032,32469482422
0,5999999999999999	5512,261560058594	9032,324572753907	5468,1960372924805	9001,390754699707	5280,269123840332	8954,898023986816	2490,8672622680665	9032,32469482422
0,5749999999999998	5513,534643554687	9032,324572753907	5502,372967529297	9016,582057189942	5278,920901489258	8438,008015441894	2493,239756774902	9032,32463684082
0,5499999999999998	5512,0146484375	9032,324429321288	5498,730328369141	8838,400036621093	5326,519052124024	9013,79615020752	2493,85924987793	9032,324581909179
0,5249999999999998	5491,730786132813	9032,324459838866	5507,1458938598635	9002,110525512695	5339,51204071045	9015,235200500489	2509,4338912963867	9032,32448272705
