closedSequence leviathan time
	CloSpan	CMClaSP	BIDE	ClaSP
0,2	524,8	348,6	224,4	492,4
0,17500000000000002	558,8	370,4	244,6	548,8
0,15000000000000002	740,8	437,0	321,0	677,2
0,12500000000000003	1007,0	539,8	443,2	864,4
0,10000000000000005	1473,0	713,2	664,2	1227,4
0,07500000000000004	2381,4	1039,4	1161,2	1894,2
0,05000000000000003	4888,2	1867,0	2589,2	3396,2
0,025000000000000033	15039,8	5074,8	8980,4	8873,0
