;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.8;2777;781;2805;3873;2142
0.775;2978;2349;4968;7603;2525
0.75;3008;4439;7755;11364;2856
0.725;3100;6453;13162;20411;3338
0.7;3118;8953;20725;21252;3664
0.6749999999999999;3147;11161;23029;22102;4382
0.6499999999999999;3209;14340;29103;22957;5315
0.6249999999999999;3218;14045;29290;23153;5338
0.5999999999999999;3214;14138;29021;23601;5336
0.5749999999999998;3225;15255;30103;30180;5491
0.5499999999999998;3240;30004;49248;43204;7508
0.5249999999999998;3246;51295;71166;63573;11280
