;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.8;2782;783;2809;3836;2146
0.775;2980;2340;4947;7278;2522
0.75;3005;4415;7703;10723;2844
0.725;3097;6407;13017;19478;3338
0.7;3130;8905;20564;20435;3660
0.6749999999999999;3141;11115;23057;21369;4385
0.6499999999999999;3218;13958;28841;22986;5326
0.6249999999999999;3207;14006;29386;23163;5337
0.5999999999999999;3210;14103;28948;23689;5347
0.5749999999999998;3216;15210;30097;30245;5481
0.5499999999999998;3249;29920;49573;43439;7515
0.5249999999999998;3247;51226;71196;63674;11265
