;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.8;2824;785;2809;3817;2145
0.775;2985;2344;4947;7564;2517
0.75;3002;4434;7702;11315;2842
0.725;3106;6445;13045;19958;3304
0.7;3105;8903;20433;21353;3652
0.6749999999999999;3494;11151;23236;22118;4419
0.6499999999999999;3214;14001;29434;23095;5319
0.6249999999999999;3211;14043;29641;23207;5323
0.5999999999999999;3212;14141;29114;23778;5340
0.5749999999999998;3217;15279;29994;30214;5484
0.5499999999999998;3244;29932;48956;43556;7514
0.5249999999999998;3244;51185;70449;63483;11286
