;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.8;2784;787;2812;3830;2150
0.775;2978;2339;4952;7289;2527
0.75;3173;4416;7789;10767;2841
0.725;3098;6413;13014;19327;3312
0.7;3101;8880;20443;20434;3657
0.6749999999999999;3146;11114;23160;21318;4386
0.6499999999999999;3217;13968;28695;22992;5318
0.6249999999999999;3209;13990;29215;23158;5325
0.5999999999999999;3225;14114;28968;23686;5334
0.5749999999999998;3208;15209;30065;30326;5519
0.5499999999999998;3249;29902;49162;43389;7514
0.5249999999999998;3246;51179;71216;64504;11273
