;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.8;2955;829;2885;3780;2089
0.775;2977;2237;5063;7632;2713
0.75;3008;4227;7756;11367;3244
0.725;3106;6114;13112;18822;4129
0.7;3101;8467;16168;21305;4692
0.6749999999999999;3148;10573;18317;23003;4488
0.6499999999999999;3210;13303;23994;29042;5408
0.6249999999999999;3215;13289;23983;29032;5322
0.5999999999999999;3215;13359;24033;29887;5325
0.5749999999999998;3214;14440;24494;31644;5522
0.5499999999999998;3265;28326;38312;51749;7514
0.5249999999999998;3244;48554;53688;76964;11275
