;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.01;1299.2276306152344;1127.0618515014648;1207.0673599243164;1034.625099182129;862.1875381469727
0.009000000000000001;1207.0626068115234;1034.8909759521484;1207.0672454833984;1034.625015258789;862.1875152587891
0.008;1207.0625686645508;1207.3988571166992;1207.0673217773438;1034.6250686645508;862.1875152587891
0.007;1207.062515258789;1472.0659408569336;1207.0673217773438;1034.6250686645508;862.1875534057617
0.006;1207.0625457763672;1552.402961730957;1207.067237854004;1034.6250686645508;954.3525619506836
0.005;1299.2276000976562;1897.4071044921875;1379.5048294067383;1034.625015258789;862.1875381469727
0.004;1207.0625839233398;2414.913154602051;1379.5118026733398;1207.0625228881836;862.1875305175781
0.003;1207.0625457763672;3369.5885696411133;1379.5048217773438;1299.2280578613281;862.1875152587891
0.002;1207.0625228881836;6209.957809448242;1401.1747970581055;1226.0229873657227;875.7306976318359
0.001;1226.022964477539;9216.5;1392.6540222167969;1392.3493957519531;870.218376159668
