;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.01;848;2936;850;890;786;4080;324;996
0.009000000000000001;868;3290;870;899;796;4585;317;1030
0.008;885;3633;887;912;801;5352;323;1068
0.007;909;4244;912;943;811;6495;321;1156
0.006;933;4814;931;970;815;7655;319;1221
0.005;957;5600;960;998;823;9712;318;1307
0.004;986;6789;983;1018;834;12615;317;1410
0.003;1024;8292;1027;1065;846;17659;317;1591
0.002;1085;12085;1083;1143;855;34142;322;2010
0.001;1171;19396;1164;1260;878;96411;320;2930
