;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.01;1216;2924;1106;953;852;4040;318;1240
0.009000000000000001;884;3152;869;1049;803;4588;322;1020
0.008;881;3679;885;973;802;5322;316;1204
0.007;912;4144;913;938;813;6459;316;1161
0.006;932;4803;932;966;828;7611;318;1214
0.005;962;5617;960;991;823;9718;320;1305
0.004;979;6648;981;1015;832;12613;318;1406
0.003;1023;8284;1032;1058;848;17687;318;1606
0.002;1089;12094;1087;1129;854;34029;318;2016
0.001;1163;19405;1161;1247;884;96340;316;2886
