;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.01;850;2938;850;884;789;3972;317;994
0.009000000000000001;872;3317;872;902;794;4577;319;1029
0.008;888;3657;892;919;809;5354;319;1070
0.007;911;4270;916;947;813;6467;323;1141
0.006;936;4852;937;972;816;7664;321;1208
0.005;956;5658;961;999;826;9677;316;1307
0.004;983;6642;984;1021;831;12579;320;1411
0.003;1029;8266;1028;1054;843;17615;320;1586
0.002;1088;12068;1091;1139;857;34090;326;2023
0.001;1160;19373;1169;1253;882;96344;320;2934
