;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.01;849;2941;853;883;792;3978;318;999
0.009000000000000001;870;3288;872;892;795;4588;321;1028
0.008;883;3642;888;910;802;5360;322;1067
0.007;914;4257;917;948;816;6493;317;1149
0.006;934;4817;932;967;818;7660;317;1214
0.005;959;5602;962;995;826;9704;321;1305
0.004;991;6653;990;1022;841;12638;323;1402
0.003;1026;8284;1026;1055;846;17633;317;1590
0.002;1083;12101;1090;1132;861;34108;318;2008
0.001;1168;19405;1174;1240;879;96345;345;2913
