;PrefixSpan;SPADE;CMSPADE;CMSPAM;LAPIN;SPAM
0.01;693.9022445678711;902.6101150512695;7676.268379211426;1456.8889465332031;1456.7081756591797;1942.6077346801758
0.009000000000000001;647.4223556518555;1031.051498413086;7772.691253662109;1351.8681335449219;1351.7617874145508;2027.8527450561523
0.008;675.8764038085938;1013.8088531494141;7776.171310424805;1388.339012145996;1388.2322235107422;2256.207832336426
0.007;694.1118469238281;1041.1704177856445;7986.048973083496;1415.0874328613281;1414.9428176879883;3007.2307739257812
0.006;707.4671936035156;1238.071548461914;8139.741989135742;1605.5632705688477;1486.9458389282227;3924.744583129883
0.005;891.8949661254883;1486.941146850586;8447.64249420166;1611.3536834716797;1432.1548461914062;6266.625053405762
0.004;1081.2525177001953;1802.137840270996;8834.533645629883;1803.9641952514648;1443.0281524658203;9216.5
0.003;1454.0853271484375;2544.6695251464844;1199.8544387817383;2192.186996459961;1461.2858963012695;9252.992012023926
0.002;3646.05135345459;5807.449317932129;6576.63134765625;3556.6663513183594;1600.3226470947266;9171.218856811523
