;CloSpan;BIDEPlus;CMClaSP;ClaSP
0.2;964;368;469;497
0.17500000000000002;590;247;366;512
0.15000000000000002;759;315;411;636
0.12500000000000003;1036;425;493;820
0.10000000000000003;1601;641;682;1146
0.07500000000000004;2614;1127;970;1831
0.05000000000000004;5420;2514;1762;3193
0.025000000000000036;16180;8804;4811;8467
