;PrefixSpan;SPADE;CMSPADE;CMSPAM;LAPIN;SPAM
0.01;729.9451065063477;912.4311294555664;7667.473777770996;1457.3268280029297;1457.18017578125;1821.7336654663086
0.009000000000000001;728.5893707275391;910.7407608032227;7653.387512207031;1457.6298370361328;1457.4852752685547;2004.2961349487305
0.008;728.7429580688477;1093.1091690063477;7837.160530090332;1448.782844543457;1448.6722412109375;2354.388038635254
0.007;724.3338775634766;1086.5042114257812;7971.352607727051;1448.4753723144531;1448.3302764892578;3078.1057739257812
0.006;724.1619033813477;1267.2868118286133;8150.323760986328;1624.6999893188477;1444.018814086914;3971.740379333496
0.005;902.5080871582031;1444.0130996704102;8306.298568725586;1623.3123245239258;1442.8185577392578;6313.457778930664
0.004;1083.4870910644531;1805.8137130737305;8852.24634552002;1802.6296157836914;1441.9611358642578;9171.20726776123
0.003;1453.3939056396484;2543.571578979492;1151.827133178711;2191.482620239258;1460.847183227539;9171.20726776123
0.002;3609.179786682129;5774.779602050781;6733.852394104004;3546.720977783203;1595.9019927978516;9171.20726776123
