;PrefixSpan;SPADE;CMSPADE;CMSPAM;LAPIN;SPAM
0.01;729.9422988891602;912.428581237793;7667.444297790527;1457.3251190185547;1457.178451538086;1821.7315292358398
0.009000000000000001;728.5885848999023;910.7396926879883;7653.3785400390625;1457.629409790039;1457.4827270507812;2004.2955474853516
0.008;728.7424697875977;1093.1088485717773;7837.158218383789;1448.782470703125;1448.6739883422852;2354.3492736816406
0.007;724.3337249755859;1086.5039749145508;7971.350936889648;1448.475227355957;1448.3287734985352;3078.10546875
0.006;724.1618423461914;1267.2866439819336;8150.323013305664;1624.6999893188477;1444.018814086914;3971.740379333496
0.005;902.5080871582031;1444.0130996704102;8306.298568725586;1623.3123245239258;1442.8108749389648;6313.41951751709
0.004;1083.4861907958984;1805.8151321411133;8852.255233764648;1802.629623413086;1441.9590682983398;9171.206886291504
0.003;1453.3939056396484;2543.571578979492;1151.827133178711;2191.482620239258;1460.8492279052734;9171.206886291504
0.002;3609.170669555664;5774.76180267334;6733.851600646973;3546.7204666137695;1595.8986511230469;9171.206886291504
