;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.8;2955;804;2982;3999;2301
0.775;3153;2332;5123;8115;2689
0.75;3176;4387;7899;12526;3001
0.725;3278;6365;13536;21773;3470
0.7;3278;8814;17514;25574;3824
0.6749999999999999;3321;11021;19507;28872;4540
0.6499999999999999;3386;13874;25230;35463;5483
0.6249999999999999;3392;13965;25178;35052;5498
0.5999999999999999;3392;13987;25211;35049;5505
0.5749999999999998;3390;15086;25783;35978;5651
0.5499999999999998;3435;29642;41205;43916;7724
0.5249999999999998;3424;50658;58043;58491;11640
