;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.01;868;2849;885;950;875;4606;333;1120
0.009000000000000001;876;1834;887;923;858;5053;334;1042
0.008;901;1984;901;944;859;6017;334;1188
0.007;952;2336;948;980;887;7489;332;1149
0.006;936;2336;941;979;880;8616;343;1211
0.005;959;2770;1066;1105;937;10818;333;1292
0.004;983;2915;997;1033;910;14775;331;1488
0.003;1090;3480;1018;1076;903;20569;332;1579
0.002;1065;4571;1065;1153;926;40026;347;2072
0.001;1156;6968;1223;1377;1037;114074;347;2976
