;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.01;841;3122;842;926;813;4466;332;1090
0.009000000000000001;856;3712;862;934;842;5050;333;1073
0.008;869;4087;989;1074;961;5991;331;1107
0.007;897;4533;902;1045;919;7597;332;1175
0.006;911;5174;913;1002;851;8861;333;1311
0.005;930;6008;940;1042;857;11489;348;1395
0.004;955;7167;960;1080;884;14464;333;1489
0.003;991;5714;1092;1182;969;20480;449;1619
0.002;1087;5814;1045;1118;893;39867;336;1944
0.001;1119;7584;1228;1359;955;113951;335;2778
