;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.01;912;2818;873;915;851;4483;427;1102
0.009000000000000001;961;1945;886;920;860;5072;338;1042
0.008;904;1961;904;930;866;6352;351;1216
0.007;943;2205;926;956;870;7492;334;1222
0.006;935;2358;964;1022;895;8542;334;1202
0.005;956;2671;961;1024;853;10809;345;1249
0.004;962;2887;968;989;872;14608;331;1428
0.003;1064;4119;994;1049;909;20401;433;1548
0.002;1039;5330;1042;1128;895;40012;339;1940
0.001;1125;7266;1208;1315;1019;114132;333;2769
