;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.8;263.82666015625;584.7073440551758;958.4154968261719;1008.3604278564453;543.5833053588867
0.775;158.84502410888672;595.4039154052734;922.2618789672852;1103.085075378418;543.9790420532227
0.75;290.21622467041016;214.71288299560547;869.7028198242188;1539.7593688964844;511.8868179321289
0.725;496.6071243286133;608.0891036987305;974.8214645385742;1427.974853515625;244.21395111083984
0.7;826.2417144775391;614.1794891357422;1191.0443267822266;1377.0063934326172;284.4493865966797
0.6749999999999999;764.2496871948242;607.9407348632812;1165.999656677246;1309.4859466552734;447.4412155151367
0.6499999999999999;248.72914123535156;624.9379959106445;1031.9978485107422;1160.2051162719727;665.046875
0.6249999999999999;682.9466247558594;615.5748977661133;1115.201286315918;1248.962028503418;215.4936065673828
0.5999999999999999;620.4847946166992;617.6675262451172;1122.7197723388672;1589.2444076538086;226.80463409423828
0.5749999999999998;813.9015426635742;619.8597793579102;1050.0484161376953;1626.582290649414;500.8102264404297
0.5499999999999998;551.3268585205078;649.5691146850586;1234.603385925293;1664.0988311767578;317.4610061645508
0.5249999999999998;426.15132904052734;687.9834518432617;1543.3315353393555;1424.1439056396484;264.31510162353516
