;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.01;810;2217;2963;2543;10884
0.009000000000000001;812;2553;3373;2838;14475
0.008;819;2908;3669;3152;18371
0.007;829;3421;4420;3697;26565
0.006;837;4060;4866;4239;35350
0.005;841;5094;5867;5010;49260
0.004;858;6496;6688;5956;70542
0.003;862;9256;8449;7455;112915
0.002;876;15129;12262;10546;248390
0.001;894;30524;20327;15772;664591
