;CloSpan;CMClaSP;BIDE;ClaSP
0.2;461;326;202;482
0.17500000000000002;555;359;242;536
0.15000000000000002;726;429;320;670
0.12500000000000003;995;520;436;850
0.10000000000000003;1461;704;661;1225
0.07500000000000004;2381;1056;1160;1868
0.05000000000000004;4786;1868;2583;3354
0.025000000000000036;14813;5065;8973;8889
