;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.8;3241;847;3104;4952;2657
0.775;3616;2612;4882;7554;2883
0.75;3464;4627;7035;8358;3141
0.725;3640;6610;10578;9837;3872
0.7;3604;9184;11598;12023;4123
0.6749999999999999;3671;11790;16200;12777;4979
0.6499999999999999;3840;14367;21824;14981;5782
0.6249999999999999;3852;14600;22770;15321;5778
0.5999999999999999;3717;14830;21965;15412;5807
0.5749999999999998;3690;15962;22581;15818;5921
0.5499999999999998;3762;30946;46447;19007;8825
0.5249999999999998;4045;52858;61908;24902;12667
