;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.5;41;77;41;62;41;114;56;182
0.45;42;129;43;81;43;220;95;966
0.4;44;184;43;103;44;354;151;3077
0.35000000000000003;46;366;46;155;46;687;282;10030
0.30000000000000004;49;638;49;250;51;1490;618;15931
0.25000000000000006;55;1187;55;414;61;2903;1196;62369
0.20000000000000007;163;5522;164;2457;184;26820;8970;302486
0.15000000000000008;269;9404;271;3975;304;45585;16913;599242
0.10000000000000007;1683;34926;1648;15430;1845;247469;171526;1441494
