;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.5;42;132;42;62;41;119;56;186
0.45;42;129;43;82;43;227;94;972
0.4;44;186;44;106;44;358;152;3088
0.35000000000000003;45;369;45;154;47;692;284;10091
0.30000000000000004;49;656;49;254;52;1498;614;15969
0.25000000000000006;56;1187;55;411;60;2909;1184;62356
0.20000000000000007;164;5505;163;2456;183;26836;8932;302867
0.15000000000000008;277;9391;274;4008;306;45626;16867;600440
0.10000000000000007;1696;34964;1668;15405;1829;247607;173452;1446026
