;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori
5000;4009;4009;4009;4009;4009;4009;4009
10000;4065;4065;4065;4065;4065;4065;4065
15000;3968;3968;3968;3968;3968;3968;3968
20000;3961;3961;3961;3961;3961;3961;3961
25000;4003;4003;4003;4003;4003;4003;4003
30000;4009;4009;4009;4009;4009;4009;4009
35000;4107;4107;4107;4107;4107;4107;4107
40000;4064;4064;4064;4064;4064;4064;4064
