;PrefixSpan;SPADE;CMSPADE;CMSPAM;LAPIN;SPAM
0.01;394;394;394;394;394;394
0.009000000000000001;481;481;481;481;481;481
0.008;596;596;596;596;596;596
0.007;813;813;813;813;813;813
0.006;1150;1150;1150;1150;1150;1150
0.005;1673;1673;1673;1673;1673;1673
0.004;2656;2656;2656;2656;2656;2656
0.003;5079;5079;5079;5079;5079;5079
0.002;15261;15261;15261;15261;15261;15261
