;CloSpan;CMClaSP;BIDE;ClaSP
0.2;1475;2470;890;1593
0.17500000000000002;1324;1401;857;1685
0.15000000000000002;1832;1740;1232;2249
0.12500000000000003;2216;1590;1312;2645
0.10000000000000003;2738;1813;1719;3313
0.07500000000000004;4308;2618;2610;4026
0.05000000000000004;7476;3114;4690;6207
0.025000000000000036;21152;7723;13276;18785
