;PrefixSpan;SPADE;CMSPADE;CMSPAM;LAPIN;SPAM
0.01;454.0;447.1847152709961;2741.7656860351562;895.231201171875;789.8241119384766;924.0748825073242
0.009000000000000001;454.0;484.4206314086914;2787.696044921875;904.4093551635742;799.4782485961914;923.1734237670898
0.008;454.0;512.8238754272461;82.34344482421875;923.5705261230469;801.640625;923.1091690063477
0.007;454.0;149.5450897216797;247.78123474121094;913.7290725708008;810.996223449707;923.2667770385742
0.006;454.0;265.0714416503906;434.8943405151367;912.8402481079102;830.0564575195312;923.5028610229492
0.005;454.0;463.631591796875;265.7566680908203;887.3793640136719;840.4429397583008;924.2396621704102
0.004;451.1495590209961;340.0029602050781;492.63282775878906;922.2595825195312;842.0166244506836;924.0897750854492
0.003;477.0377197265625;333.60106658935547;450.0159149169922;915.0709075927734;842.4206695556641;924.1552581787109
0.002;518.1476669311523;655.9933319091797;815.9219665527344;534.0095062255859;943.7375411987305;915.4248199462891
