;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.8;907.1233596801758;597.3751068115234;964.4741592407227;1016.6634674072266;543.5633163452148
0.775;678.436897277832;593.9576263427734;914.45556640625;1165.1952209472656;544.0745086669922
0.75;290.20992279052734;222.294677734375;836.1334381103516;1431.6165008544922;529.9844360351562
0.725;521.9069290161133;608.9410705566406;929.0041580200195;1562.1658630371094;686.549674987793
0.7;569.0584716796875;610.1023178100586;1113.637062072754;1475.3140563964844;316.28668212890625
0.6749999999999999;595.0288391113281;610.1583862304688;962.5366668701172;1408.9035949707031;270.99403381347656
0.6499999999999999;737.1959075927734;627.8169403076172;1088.1683807373047;1189.9382095336914;772.837287902832
0.6249999999999999;823.7798233032227;625.6854476928711;1118.0957260131836;1251.9525146484375;410.9085998535156
0.5999999999999999;316.64280700683594;624.4126434326172;978.9793472290039;1250.322265625;773.868537902832
0.5749999999999998;812.3746566772461;632.8127822875977;1073.5759506225586;1299.4463958740234;523.4286346435547
0.5499999999999998;560.0210571289062;649.7250442504883;1271.9118118286133;1817.260726928711;729.3475875854492
0.5249999999999998;725.3264465332031;697.3074951171875;1449.0249252319336;1443.7262878417969;950.6664123535156
