;CloSpan;BIDEPlus;CMClaSP;ClaSP
0.2;1043;701;1161;1439
0.17500000000000002;1195;815;1245;1630
0.15000000000000002;1477;963;1330;1939
0.12500000000000003;1967;1253;1456;2556
0.10000000000000003;2536;1572;1685;3269
0.07500000000000004;3721;2325;2126;4382
0.05000000000000004;6693;4144;3178;7382
0.025000000000000036;18088;11763;6921;17265
