;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.8;2863;3007;2861;2984;2979;2045;1440;2952
0.775;3069;3939;3112;3745;3167;4944;1443;4342
0.75;3100;4687;3095;4286;3157;8158;1464;5769
0.725;3222;6321;3206;5267;3256;12020;1446;15992
0.7;3203;8326;3200;5870;3273;15174;1443;15986
0.6749999999999999;3241;10255;3234;9126;3302;20866;1447;23768
0.6499999999999999;3299;12081;3304;11183;3368;32068;1449;50854
0.6249999999999999;3303;12143;3300;11307;3370;32375;1443;50617
0.5999999999999999;3309;12107;3302;10705;3434;32693;1451;50802
0.5749999999999998;3301;13147;3304;11146;3367;34376;1445;50824
0.5499999999999998;3332;22754;3326;15354;3400;58290;1443;93238
0.5249999999999998;3337;37585;3334;21502;3403;98165;1441;93398
