;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.5;50;35;73;116;67
0.45;51;51;103;145;111
0.4;49;80;140;209;180
0.35000000000000003;50;146;219;297;321
0.30000000000000004;56;241;320;414;682
0.25000000000000006;74;392;498;545;1332
0.20000000000000007;70;698;941;799;11642
0.15000000000000008;81;1263;1450;1120;22717
0.10000000000000007;114;2959;2717;1626;408995
