;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.5;39;76;40;59;38;116;17;182
0.45;41;127;42;77;40;219;17;986
0.4;47;183;42;103;42;354;17;3176
0.35000000000000003;43;368;43;152;44;686;18;10269
0.30000000000000004;47;639;47;252;50;1487;16;16309
0.25000000000000006;53;1194;53;418;58;2902;16;63314
0.20000000000000007;163;5536;163;2499;183;26832;19;306219
0.15000000000000008;272;9498;270;4055;309;45635;17;603823
0.10000000000000007;1721;35307;1687;15597;1876;247552;17;1452577
