;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.01;1299.216079711914;1126.9908981323242;1207.0558242797852;1034.6229705810547;862.1793060302734
0.009000000000000001;1207.051040649414;1034.8367080688477;1207.0559005737305;1034.6229782104492;862.1793212890625
0.008;1207.051025390625;1299.5021286010742;1207.0558166503906;1034.622947692871;862.1793441772461
0.007;1207.0510559082031;1379.837547302246;1207.0558166503906;1034.622947692871;862.1792831420898
0.006;1207.0510559082031;1552.3379440307617;1207.0557403564453;1034.622947692871;954.3443222045898
0.005;1207.0510330200195;1897.3387985229492;1379.4917068481445;1034.6229858398438;862.179313659668
0.004;1207.051025390625;2414.839859008789;1471.6637420654297;1207.0588455200195;862.1793441772461
0.003;1207.0509948730469;3369.507148742676;1379.4916763305664;1207.0588150024414;862.1793212890625
0.002;1207.0510864257812;6209.848526000977;1394.9825439453125;1220.5956268310547;871.8539962768555
0.001;1220.5956802368164;9141.202415466309;1563.1363220214844;1389.448127746582;868.4001998901367
