;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori
5000;368.66002655029297;368.66002655029297;184.33002471923828;368.66002655029297;184.33002471923828;368.6601104736328;368.65999603271484
10000;184.32999420166016;184.32999420166016;368.65999603271484;184.32999420166016;184.32999420166016;184.32999420166016;184.33000946044922
15000;184.33000946044922;184.33000946044922;184.33000946044922;184.33000946044922;184.33000946044922;184.33000946044922;184.33000946044922
20000;368.6600112915039;184.33000946044922;184.33000946044922;184.33000946044922;184.33000946044922;184.33000946044922;184.33000946044922
25000;184.33000946044922;368.66004180908203;184.33000946044922;368.6600036621094;184.33000946044922;184.33000946044922;184.33000946044922
30000;368.66004180908203;368.66019439697266;552.9900131225586;368.6600036621094;368.6600036621094;184.33000946044922;184.33000946044922
35000;368.6600112915039;368.66062927246094;368.66028594970703;368.6600875854492;552.9900131225586;184.33000946044922;184.33000946044922
40000;368.6600112915039;552.9900817871094;368.6600112915039;368.6600112915039;368.6600112915039;184.33000946044922;368.6604919433594
