;FPClose;Charm;LCM;DCIClosed;AprioriClose
0.01;946;2883;3058;2468;8405
0.009000000000000001;862;3236;4190;2990;11238
0.008;874;3674;3705;2710;14424
0.007;939;4323;4284;3149;21586
0.006;870;5108;5069;3673;27772
0.005;893;6379;6361;4842;38352
0.004;883;8117;6648;5433;55541
0.003;889;12385;8811;6796;89642
0.002;1001;19028;12894;8364;210536
0.001;959;38552;18144;14647;571885
