;PrefixSpan;SPADE;CMSPADE;CMSPAM;LAPIN;SPAM
0.01;256;764;2265;661;3153;1999
0.009000000000000001;276;824;2273;720;3704;2379
0.008;280;902;2295;822;4453;2910
0.007;304;1028;2331;956;6099;4107
0.006;334;1200;2378;1158;8289;5680
0.005;381;1475;2457;1509;12839;8949
0.004;473;1886;2591;2008;19381;13555
0.003;679;2881;3158;3212;37221;23371
0.002;1660;5321;4537;6290;88563;57233
