;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.01;1326.3025360107422;1234.1481018066406;1234.1374969482422;1234.1375045776367;1326.3024673461914;528.9161605834961;528.9160766601562;1234.1375274658203
0.009000000000000001;1234.1375427246094;1234.1480865478516;1234.137466430664;1234.1375427246094;1234.1374740600586;528.9161911010742;528.9160308837891;1234.137435913086
0.008;1234.1374740600586;1234.1481628417969;1326.3024597167969;1234.1374206542969;1234.1374588012695;528.9160308837891;528.9160308837891;1234.1374816894531
0.007;1234.137466430664;1326.3130645751953;1234.1374969482422;1234.4246826171875;1234.1374282836914;621.0810394287109;528.9160308837891;1234.1374969482422
0.006;1234.1374893188477;1234.1481628417969;1234.1374893188477;1234.1374969482422;1234.1374588012695;528.9160308837891;528.9160308837891;1410.4434204101562
0.005;1234.137466430664;1234.1481628417969;1234.1374816894531;1326.3024520874023;1234.1374588012695;528.9160308837891;528.9160308837891;1410.4428329467773
0.004;1234.137435913086;1410.4539947509766;1234.1374816894531;1410.4428100585938;1234.137451171875;528.9160308837891;621.0810394287109;1410.4427871704102
0.003;1234.1374893188477;1410.4544372558594;1234.1374893188477;1502.6078796386719;1234.1375045776367;528.9160308837891;621.0810394287109;1586.7494735717773
0.002;1234.1374816894531;1410.460464477539;1234.1374816894531;1410.4474868774414;1234.1374588012695;705.2213897705078;528.9160308837891;1763.056037902832
0.001;1234.1374969482422;1586.758903503418;1234.1374969482422;1586.7495498657227;1326.302490234375;705.2223510742188;528.9160461425781;2291.979804992676
