;PrefixSpan;SPADE;CMSPADE;CMSPAM;LAPIN;SPAM
0.01;331;394;394;394;394;394
0.009000000000000001;406;481;481;481;481;481
0.008;504;596;596;596;596;596
0.007;686;813;813;813;813;813
0.006;961;1150;1150;1150;1150;1150
0.005;1383;1673;1673;1673;1673;1673
0.004;2148;2656;2656;2656;2656;2656
0.003;4080;5079;5079;5079;5079;5079
0.002;12706;15261;15261;15261;15261;15261
