;CloSpan;CMClaSP;BIDE;ClaSP
0.2;490;349;210;493
0.17500000000000002;579;391;252;578
0.15000000000000002;756;522;328;784
0.12500000000000003;1104;563;526;942
0.10000000000000003;1515;772;689;1232
0.07500000000000004;2431;1198;1272;1964
0.05000000000000004;5075;1903;2699;3446
0.025000000000000036;15528;5674;9229;9769
