;PrePost+;LCMFreq;PrePost;H-Mine;FPGrowth;Eclat;Apriori;Relim
0.8;3767;3847;3296;3560;3430;2503;2209;3755
0.775;3360;4327;3971;5285;3786;5450;1604;4693
0.75;3465;5351;3550;5133;3799;14002;1655;5289
0.725;3767;8113;3636;9829;3725;12017;1642;16045
0.7;3559;8153;4011;7686;3659;20995;1632;15558
0.6749999999999999;3904;10441;4142;9210;3928;27563;1789;31989
0.6499999999999999;3691;13045;4015;10548;4154;35466;1619;77371
0.6249999999999999;6545;17536;5612;15745;7012;50547;2019;80225
0.5999999999999999;6417;19669;6178;16785;5411;49243;2093;80547
0.5749999999999998;5358;17111;4464;13948;4287;43583;2078;69818
0.5499999999999998;4052;23533;3695;16087;4029;56666;2107;134168
0.5249999999999998;3823;41530;4438;25540;4596;115473;1823;150490
